,TOPIC,CLASSIFICATION,GROUP,SUBGROUP,ESTIMATE,TIME_PERIOD,REVERSE_ESTIMATE
9459,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Living with a partner,11.8,2022,88.2
9460,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Living with a partner,11.3,2023,88.7
9461,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Living with a partner,13.1,2024,86.9
9462,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Never married,9.0,2019,91.0
9463,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Never married,7.9,2020,92.1
9464,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Never married,7.4,2021,92.6
9465,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Never married,8.3,2022,91.7
9466,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Never married,7.9,2023,92.1
9467,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Never married,9.5,2024,90.5
9468,Delayed getting medical care due to cost among adults,Demographic Characteristic,Nativity,U.S.-born,8.7,2019,91.3
9469,Delayed getting medical care due to cost among adults,Demographic Characteristic,Nativity,U.S.-born,7.3,2020,92.7
9470,Delayed getting medical care due to cost among adults,Demographic Characteristic,Nativity,U.S.-born,7.2,2021,92.8
9471,Delayed getting medical care due to cost among adults,Demographic Characteristic,Nativity,U.S.-born,6.6,2022,93.4
9472,Delayed getting medical care due to cost among adults,Demographic Characteristic,Nativity,U.S.-born,6.9,2023,93.1
9473,Delayed getting medical care due to cost among adults,Demographic Characteristic,Nativity,U.S.-born,8.7,2024,91.3
9474,Delayed getting medical care due to cost among adults,Demographic Characteristic,Nativity,Foreign-born,10.2,2019,89.8
9475,Delayed getting medical care due to cost among adults,Demographic Characteristic,Nativity,Foreign-born,8.3,2020,91.7
9476,Delayed getting medical care due to cost among adults,Demographic Characteristic,Nativity,Foreign-born,6.7,2021,93.3
9477,Delayed getting medical care due to cost among adults,Demographic Characteristic,Nativity,Foreign-born,8.6,2022,91.4
9478,Delayed getting medical care due to cost among adults,Demographic Characteristic,Nativity,Foreign-born,8.3,2023,91.7
9479,Delayed getting medical care due to cost among adults,Demographic Characteristic,Nativity,Foreign-born,8.4,2024,91.6
9480,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,American Indian and Alaska Native only,10.5,2019,89.5
9481,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,American Indian and Alaska Native only,6.1,2020,93.9
9482,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,American Indian and Alaska Native only,10.3,2021,89.7
9485,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,American Indian and Alaska Native only,9.7,2024,90.3
9486,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,Asian only,3.5,2019,96.5
9487,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,Asian only,3.5,2020,96.5
9488,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,Asian only,3.1,2021,96.9
9489,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,Asian only,4.3,2022,95.7
9490,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,Asian only,3.3,2023,96.7
9491,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,Asian only,3.8,2024,96.2
9492,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,Black only,10.6,2019,89.4
9493,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,Black only,8.3,2020,91.7
9494,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,Black only,7.0,2021,93.0
9495,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,Black only,6.9,2022,93.1
9496,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,Black only,8.7,2023,91.3
9497,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,Black only,8.9,2024,91.1
9500,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,Native Hawaiian or Other Pacific Islander only,13.9,2021,86.1
9503,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,Native Hawaiian or Other Pacific Islander only,14.6,2024,85.4
9504,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,White only,8.8,2019,91.2
9505,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,White only,7.3,2020,92.7
9506,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,White only,7.2,2021,92.8
9507,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,White only,6.8,2022,93.2
9508,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,White only,7.0,2023,93.0
9509,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,White only,8.7,2024,91.3
9510,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,American Indian and Alaska Native and White,14.6,2019,85.4
9511,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,American Indian and Alaska Native and White,5.8,2020,94.2
9512,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,American Indian and Alaska Native and White,10.3,2021,89.7
9513,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,American Indian and Alaska Native and White,11.2,2022,88.8
9514,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,American Indian and Alaska Native and White,15.0,2023,85.0
9515,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,American Indian and Alaska Native and White,10.3,2024,89.7
9516,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,Black and White,14.5,2019,85.5
9518,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,Black and White,16.0,2021,84.0
9521,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race,Black and White,13.4,2024,86.6
9522,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",13.2,2019,86.8
9523,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",10.8,2020,89.2
9524,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",8.7,2021,91.3
9525,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",10.9,2022,89.1
9526,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",9.6,2023,90.4
9527,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",10.0,2024,90.0
9528,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",13.5,2019,86.5
9529,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",10.9,2020,89.1
9530,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",8.7,2021,91.3
9531,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",11.3,2022,88.7
9532,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",10.2,2023,89.8
9533,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",9.3,2024,90.7
9534,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",8.2,2019,91.8
9535,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",6.9,2020,93.1
9536,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",6.8,2021,93.2
9537,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",6.2,2022,93.8
9538,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",6.7,2023,93.3
9539,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",8.3,2024,91.7
9540,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"Black only, non-Hispanic",10.5,2019,89.5
9541,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"Black only, non-Hispanic",8.3,2020,91.7
9542,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"Black only, non-Hispanic",7.0,2021,93.0
9543,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"Black only, non-Hispanic",7.0,2022,93.0
9544,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"Black only, non-Hispanic",8.7,2023,91.3
9545,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"Black only, non-Hispanic",8.7,2024,91.3
9546,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"White only, non-Hispanic",8.1,2019,91.9
9547,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"White only, non-Hispanic",6.9,2020,93.1
9548,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"White only, non-Hispanic",7.0,2021,93.0
9549,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"White only, non-Hispanic",6.2,2022,93.8
9550,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"White only, non-Hispanic",6.5,2023,93.5
9551,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"White only, non-Hispanic",8.5,2024,91.5
9552,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"Other races, non-Hispanic",6.0,2019,94.0
9553,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"Other races, non-Hispanic",4.4,2020,95.6
9554,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"Other races, non-Hispanic",5.6,2021,94.4
9555,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"Other races, non-Hispanic",5.2,2022,94.8
9556,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"Other races, non-Hispanic",5.4,2023,94.6
9557,Delayed getting medical care due to cost among adults,Demographic Characteristic,Race and Hispanic origin,"Other races, non-Hispanic",6.1,2024,93.9
9558,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sex,Female,10.3,2019,89.7
9559,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sex,Female,8.7,2020,91.3
9560,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sex,Female,7.9,2021,92.1
9561,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sex,Female,7.8,2022,92.2
9562,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sex,Female,7.9,2023,92.1
9563,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sex,Female,9.6,2024,90.4
9564,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sex,Male,7.8,2019,92.2
9565,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sex,Male,6.3,2020,93.7
9566,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sex,Male,6.3,2021,93.7
9567,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sex,Male,6.2,2022,93.8
9568,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sex,Male,6.4,2023,93.6
9569,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sex,Male,7.5,2024,92.5
9570,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sexual orientation,Bisexual,21.6,2019,78.4
9571,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sexual orientation,Bisexual,19.0,2020,81.0
9572,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sexual orientation,Bisexual,20.2,2021,79.8
9573,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sexual orientation,Bisexual,16.2,2022,83.8
9574,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sexual orientation,Bisexual,17.2,2023,82.8
9575,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sexual orientation,Bisexual,23.1,2024,76.9
9576,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sexual orientation,Gay or Lesbian,6.7,2019,93.3
9577,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sexual orientation,Gay or Lesbian,9.8,2020,90.2
9578,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sexual orientation,Gay or Lesbian,9.9,2021,90.1
9579,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sexual orientation,Gay or Lesbian,8.1,2022,91.9
9580,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sexual orientation,Gay or Lesbian,8.6,2023,91.4
9581,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sexual orientation,Gay or Lesbian,10.4,2024,89.6
9582,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sexual orientation,Straight,8.8,2019,91.2
9583,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sexual orientation,Straight,7.1,2020,92.9
9584,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sexual orientation,Straight,6.7,2021,93.3
9585,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sexual orientation,Straight,6.5,2022,93.5
9586,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sexual orientation,Straight,6.7,2023,93.3
9587,Delayed getting medical care due to cost among adults,Demographic Characteristic,Sexual orientation,Straight,7.9,2024,92.1
9588,Delayed getting medical care due to cost among adults,Demographic Characteristic,Veteran status,Veteran,5.5,2019,94.5
9589,Delayed getting medical care due to cost among adults,Demographic Characteristic,Veteran status,Veteran,4.5,2020,95.5
9590,Delayed getting medical care due to cost among adults,Demographic Characteristic,Veteran status,Veteran,4.2,2021,95.8
9591,Delayed getting medical care due to cost among adults,Demographic Characteristic,Veteran status,Veteran,4.0,2022,96.0
9592,Delayed getting medical care due to cost among adults,Demographic Characteristic,Veteran status,Veteran,3.9,2023,96.1
9593,Delayed getting medical care due to cost among adults,Demographic Characteristic,Veteran status,Veteran,5.2,2024,94.8
9594,Delayed getting medical care due to cost among adults,Demographic Characteristic,Veteran status,Non-veteran,9.3,2019,90.7
9595,Delayed getting medical care due to cost among adults,Demographic Characteristic,Veteran status,Non-veteran,7.8,2020,92.2
9596,Delayed getting medical care due to cost among adults,Demographic Characteristic,Veteran status,Non-veteran,7.4,2021,92.6
9597,Delayed getting medical care due to cost among adults,Demographic Characteristic,Veteran status,Non-veteran,7.2,2022,92.8
9598,Delayed getting medical care due to cost among adults,Demographic Characteristic,Veteran status,Non-veteran,7.5,2023,92.5
9599,Delayed getting medical care due to cost among adults,Demographic Characteristic,Veteran status,Non-veteran,8.9,2024,91.1
9600,Delayed getting medical care due to cost among adults,Geographic Characteristic,Metropolitan statistical area,Large MSA,8.5,2019,91.5
9601,Delayed getting medical care due to cost among adults,Geographic Characteristic,Metropolitan statistical area,Large MSA,7.0,2020,93.0
9602,Delayed getting medical care due to cost among adults,Geographic Characteristic,Metropolitan statistical area,Large MSA,6.4,2021,93.6
9603,Delayed getting medical care due to cost among adults,Geographic Characteristic,Metropolitan statistical area,Large MSA,7.0,2022,93.0
9604,Delayed getting medical care due to cost among adults,Geographic Characteristic,Metropolitan statistical area,Large MSA,6.6,2023,93.4
9605,Delayed getting medical care due to cost among adults,Geographic Characteristic,Metropolitan statistical area,Large MSA,8.0,2024,92.0
9606,Delayed getting medical care due to cost among adults,Geographic Characteristic,Metropolitan statistical area,Small MSA,9.7,2019,90.3
9607,Delayed getting medical care due to cost among adults,Geographic Characteristic,Metropolitan statistical area,Small MSA,8.2,2020,91.8
9608,Delayed getting medical care due to cost among adults,Geographic Characteristic,Metropolitan statistical area,Small MSA,7.5,2021,92.5
9609,Delayed getting medical care due to cost among adults,Geographic Characteristic,Metropolitan statistical area,Small MSA,6.8,2022,93.2
9610,Delayed getting medical care due to cost among adults,Geographic Characteristic,Metropolitan statistical area,Small MSA,8.2,2023,91.8
9611,Delayed getting medical care due to cost among adults,Geographic Characteristic,Metropolitan statistical area,Small MSA,10.0,2024,90.0
9612,Delayed getting medical care due to cost among adults,Geographic Characteristic,Metropolitan statistical area,Non-MSA,9.8,2019,90.2
9613,Delayed getting medical care due to cost among adults,Geographic Characteristic,Metropolitan statistical area,Non-MSA,8.2,2020,91.8
9614,Delayed getting medical care due to cost among adults,Geographic Characteristic,Metropolitan statistical area,Non-MSA,9.2,2021,90.8
9615,Delayed getting medical care due to cost among adults,Geographic Characteristic,Metropolitan statistical area,Non-MSA,7.8,2022,92.2
9616,Delayed getting medical care due to cost among adults,Geographic Characteristic,Metropolitan statistical area,Non-MSA,7.2,2023,92.8
